town,lat,lon,county,incorporated,disincorporated,note
Dana,42.42194,-72.22750,Worcester,1801,1938-04-28,Ceded to Petersham. Dana Common survives above water (Quabbin Gate 40).
Enfield,42.31667,-72.33278,Hampshire,1816,1938-04-28,Largest and wealthiest of the four; center now under the reservoir near Winsor Dam.
Greenwich,42.35917,-72.29639,Hampshire,1754,1938-04-28,One of the oldest (orig. Quabbin Parish 1754); now submerged.
Prescott,42.39167,-72.34472,Hampshire,1822,1938-04-28,Smallest; sat on the ridge now called the Prescott Peninsula.
